Texto breve de material;Lote;Libre utilización;Valor libre util.;Restantes; Precio Unitario ;;;
7030059 - CONSOLA LOFT 1.37 GRIS/CHAMPAÑA B;780003555;30; $ 10.979.835 ;28; $ 365.994,50 ;;;
7030059 - CONSOLA LOFT 1.37 GRIS/CHAMPAÑA B;5135658;1; $ 365.995 ;1; $ 365.995,00 ;;;
7025185 - CUBIERTA/VIDRIO 6PTO 1.80X1.00 MARMOLADO;1;67; $ 34.510.090 ;67; $ 515.075,97 ;;;
7025185 - CUBIERTA/VIDRIO 6PTO 1.80X1.00 MARMOLADO;3655590;1; $ 515.076 ;1; $ 515.076,00 ;;;
7030399 - CUNA ALBI BLANCO/MIEL;780003423;39; $ 43.046.308 ;39; $ 1.103.751,49 ;;;
7030397 - CUNA ALBI GRIS/NATURAL;780003422;18; $ 19.950.370 ;18; $ 1.108.353,89 ;;;
7030397 - CUNA ALBI GRIS/NATURAL;780003423;20; $ 22.167.077 ;20; $ 1.108.353,85 ;;;
7030394 - CUNA TED MIEL;780003423;21; $ 15.775.316 ;20; $ 751.205,52 ;;;
7030394 - CUNA TED MIEL;780003360;15; $ 11.268.083 ;15; $ 751.205,53 ;;;
7029012 - DUPLEX 1.00 EMMA BLANCO/NATURAL/GRIS B;770097393;1; $ 946.799 ;1; $ 946.799,00 ;;;
7017705 - ENTREPAÑO CLOSET 44X 1,5X37 TORONTO BCO;780002314;4; $ 56.269 ;4; $ 14.067,25 ;;;
7027062 - ESCRITORIO 125X78X60 JASS NATURAL;780003541;13; $ 5.752.142 ;13; $ 442.472,46 ;;;
7031967 - ESCRITORIO 92X76X44 CANES BLANC PLEGABLE;780003524;23; $ 7.811.479 ;23; $ 339.629,52 ;;;
7031967 - ESCRITORIO 92X76X44 CANES BLANC PLEGABLE;780003239;1; $ 339.630 ;1; $ 339.630,00 ;;;
7031966 - ESCRITORIO 92X76X44 CANES NEGRO PLEGABLE;780003524;18; $ 6.194.214 ;18; $ 344.123,00 ;;;
7035444 - ESCRITORIO ABBY + SILLA BLANCO/AZUL;780003549;4; $ 866.666 ;4; $ 216.666,50 ;;;
7035445 - ESCRITORIO ABBY + SILLA BLANCO/ROSADO;780003549;7; $ 1.516.665 ;7; $ 216.666,43 ;;;
7032131 - ESCRITORIO BILBAO 128X99X61 NEGRO/NATUR;780003374;1; $ 563.747 ;1; $ 563.747,00 ;;;
7032124 - ESCRITORIO BILBAO 139X95X62 BLANCO/NATUR;780003541;2; $ 1.164.712 ;2; $ 582.356,00 ;;;
7032128 - ESCRITORIO BILBAO 148X78X47 BLANCO/NATUR;780003373;1; $ 759.415 ;1; $ 759.415,00 ;;;
7032129 - ESCRITORIO BILBAO 148X78X47 NEGRO/NATUR;780003542;4; $ 3.019.118 ;4; $ 754.779,50 ;;;
7032129 - ESCRITORIO BILBAO 148X78X47 NEGRO/NATUR;780003373;4; $ 3.019.118 ;4; $ 754.779,50 ;;;
7029123 - JUEGO SALA SETX3 EXT ESTAR FERRARA TAUPE;770096040;3; $ 1.586.721 ;3; $ 528.907,00 ;;;
7032150 - JUGUETERO ANGIE 70X43X51 ROSA;780003540;1; $ 160.948 ;1; $ 160.948,00 ;;;
7019226 - MARCO ESPEJO 127X85 ALKY BLANCO B;780003539;12; $ 3.950.001 ;12; $ 329.166,75 ;;;
7019207 - MARCO ESPEJO 150X70 BOSS BLANCO B;780003379;4; $ 1.419.090 ;4; $ 354.772,50 ;;;
7034124 - MARCO ESPEJO 35X36CM NEG ABS F241;780003560;5; $ 1.029.790 ;5; $ 205.958,00 ;;;
7032098 - MARCO ESPEJO ALISS 81X81 NEGRO;780003365;2; $ 593.299 ;2; $ 296.649,50 ;;;
7032098 - MARCO ESPEJO ALISS 81X81 NEGRO;780003462;7; $ 2.076.546 ;7; $ 296.649,43 ;;;
7021619 - MECEDORA LARSSON LINO NATURAL OSC/VERDE;770082428;1; $ 468.439 ;1; $ 468.439,00 ;;;
7032204 - MESA BAR BARI 120X60X97 BLANCA;780003371;17; $ 8.272.837 ;17; $ 486.637,47 ;;;
7032205 - MESA BAR BARI 120X60X97 NEGRO;780003248;2; $ 967.547 ;2; $ 483.773,50 ;;;
7032205 - MESA BAR BARI 120X60X97 NEGRO;780003371;59; $ 28.542.645 ;59; $ 483.773,64 ;;;
7032206 - MESA BAR BARI 60X60X120 BLANCA;780003371;23; $ 11.156.530 ;23; $ 485.066,52 ;;;
7032207 - MESA BAR BARI 60X60X120 NEGRO;780003371;34; $ 16.454.929 ;34; $ 483.968,50 ;;;
7032280 - MESA BARRA AUX INDY 120X100X36 BLANCO;780003524;1; $ 233.240 ;1; $ 233.240,00 ;;;
7027701 - MESA CENTRO 70X40 MADEIRA NAT/NEG;780003539;6; $ 932.867 ;6; $ 155.477,83 ;;;
7032754 - MESA CENTRO LIZ 88X34X65 NATURAL;780003598;1; $ 179.096 ;1; $ 179.096,00 ;;;
7032074 - MESA CENTRO LIZ 88X34X65 OFF WHIT/NATUR;780003539;1; $ 164.969 ;1; $ 164.969,00 ;;;
7032057 - MESA CENTRO MADEIRA 70X40CM OFFWH;780003539;3; $ 460.958 ;3; $ 153.652,67 ;;;
7026643 - MESA CENTRO MARMOL AVANNI SETX2 BASE;3647010;1; $ 576.959 ;1; $ 576.959,00 ;;;
7026643 - MESA CENTRO MARMOL AVANNI SETX2 BASE;770092151;7; $ 4.038.710 ;7; $ 576.958,57 ;;;
7026644 - MESA CENTRO MARMOL CLAPTON  BASE;2911408;1; $ 402.973 ;1; $ 402.973,00 ;;;
7024016 - MESA DE CENTRO 80 OWEN MARMOL/CHAMPAÑA;770098496;1; $ 670.124 ;1; $ 670.124,00 ;;;
7027130 - MESA DE CENTRO 80X30 LILO NATURAL/DORADO;780003542;2; $ 407.908 ;2; $ 203.954,00 ;;;
7032253 - MESA DE CENTRO LIZ 88X34X65 TAUPE;780003598;1; $ 177.013 ;1; $ 177.013,00 ;;;
7030072 - MESA DE CENTRO LOFT NATURAL/NEGRO B;780003315;13; $ 2.537.853 ;13; $ 195.219,46 ;;;
7026610 - MESA DE CENTRO VENICE NEGRO SETX3;780003281;7; $ 3.076.818 ;7; $ 439.545,43 ;;;
7032103 - MESA DE TV BUXY 180X58X43 OFFWH/NATURAL;780003526;1; $ 482.908 ;1; $ 482.908,00 ;;;
7024286 - MESA DECORATIVA 55 VENUS NEGRO;770083692;10; $ 1.430.000 ;10; $ 143.000,00 ;;;
7019210 - MESA DECORATIVA ARIZONA NEGRO/BRONC X3 B;780002866;1; $ 395.101 ;1; $ 395.101,00 ;;;
7020169 - MESA DECORATIVA BALI PIEDRA SETX2;780002866;14; $ 3.793.083 ;14; $ 270.934,50 ;;;
7032151 - MESA ESQUI SANTORINI 43X58X40 NAT/TEJIDO;780003542;13; $ 2.823.780 ;13; $ 217.213,85 ;;;
7032104 - MESA ESQUINERA 35X48 LILO NAT/NEG;780003237;27; $ 2.335.864 ;27; $ 86.513,48 ;;;
7032104 - MESA ESQUINERA 35X48 LILO NAT/NEG;780003374;30; $ 2.595.404 ;30; $ 86.513,47 ;;;
7032104 - MESA ESQUINERA 35X48 LILO NAT/NEG;780003542;29; $ 2.508.891 ;29; $ 86.513,48 ;;;
7027132 - MESA ESQUINERA 35X48 LILO NATURAL/DORADO;780003237;28; $ 2.282.910 ;28; $ 81.532,50 ;;;
7027132 - MESA ESQUINERA 35X48 LILO NATURAL/DORADO;780003374;30; $ 2.445.975 ;30; $ 81.532,50 ;;;
7032107 - MESA ESQUINERA 35X53 LILO NAT/NEG;780003542;17; $ 1.515.376 ;17; $ 89.139,76 ;;;
7032109 - MESA ESQUINERA 35X58 LILO NAT/NEG;780003542;12; $ 1.112.970 ;12; $ 92.747,50 ;;;
7027133 - MESA ESQUINERA 35X58 LILO NATURAL/DORADO;780003237;22; $ 2.014.476 ;22; $ 91.567,09 ;;;
7027133 - MESA ESQUINERA 35X58 LILO NATURAL/DORADO;780003374;30; $ 2.747.013 ;30; $ 91.567,10 ;;;
7034047 - MESA ESQUINERA 38X48CM NEG F241;780003628;5; $ 375.394 ;5; $ 75.078,80 ;;;
7027064 - MESA ESQUINERA 40X58 JASS NATURAL;780003237;21; $ 3.687.929 ;21; $ 175.615,67 ;;;
7017480 - MESA ESQUINERA 45X57X45 KANSAS BLANCO;780003317;25; $ 3.402.739 ;24; $ 136.109,56 ;;;
7017461 - MESA ESQUINERA 45X57X45 KANSAS NEGRO;780002727;9; $ 1.055.752 ;9; $ 117.305,78 ;;;
7034169 - MESA ESQUINERA 45X58CM NEG F241;780003627;3; $ 252.034 ;2; $ 84.011,33 ;;;
7032153 - MESA ESQUINERA ALBA 40X60X40 NATURAL;780003374;31; $ 4.451.492 ;31; $ 143.596,52 ;;;
7032154 - MESA ESQUINERA ALBA 40X60X40 NATURAL/NEG;780003276;1; $ 133.906 ;1; $ 133.906,00 ;;;
7032154 - MESA ESQUINERA ALBA 40X60X40 NATURAL/NEG;780003542;8; $ 1.071.250 ;8; $ 133.906,25 ;;;
7032154 - MESA ESQUINERA ALBA 40X60X40 NATURAL/NEG;780003374;20; $ 2.678.126 ;20; $ 133.906,30 ;;;
7032156 - MESA ESQUINERA ALBA 45X65X45 NATUR/NEGRO;780003542;11; $ 1.590.089 ;11; $ 144.553,55 ;;;
7032156 - MESA ESQUINERA ALBA 45X65X45 NATUR/NEGRO;780003238;1; $ 144.554 ;1; $ 144.554,00 ;;;
7032155 - MESA ESQUINERA ALBA 45X65X45 NATURAL;780003374;14; $ 2.160.090 ;14; $ 154.292,14 ;;;
7032083 - MESA ESQUINERA COX 60X70X32 NATUR/NEGRO;780003538;7; $ 567.504 ;7; $ 81.072,00 ;;;
7032624 - MESA ESQUINERA IRIS 50X58 OFF WHITE;780003378;15; $ 1.715.035 ;14; $ 114.335,67 ;;;
